"According to Ma et al. (2025), what is Socratic questioning as a form of indirect scaffolding by an AI assistant?",A method of transforming a request for a solution into a series of reflective prompts to foster independent problem-solving and critical thinking.
What component of the Intrinsic Motivation Inventory (IMI) measures a person's feelings of nervousness and pressure during a task?,Pressure/Tension.
The 'limited robustness' of LLMs encompasses what set of issues?,"Inaccuracies, inconsistencies, system fatigue, and unpredictable behavior."
What is the main function of 'class comparison' functionality in an SRL tool?,It allows learners to compare their performance or progress with that of their peers or previously successful students.
"In the self-reflection phase of SRL, what is the difference between self-evaluation and self-judgment?","Self-evaluation involves assessing one's performance against a standard, while self-judgment involves making causal attributions for the outcome."
Why is it important for the designers of SRL-supporting tools to explicitly state the SRL theoretical model they used?,To justify the choice of functionalities and create a clear association between the tool's design and the SRL processes it aims to support.
"The review by Delikoura et al. (2025) suggests that as students increasingly rely on LLM-generated content, their active involvement in shaping their learning, known as _____, may be reduced.",student agency
"In programming education, students in Ma et al.'s (2025) study wanted AI to provide context awareness by doing what?","Aligning its answers with class materials, such as providing code using methods taught by the teacher."
"According to Wu et al. (2025), how can AI chatbots support learners' SRL during the performance phase?","By providing real-time task scaffolding, instant corrective feedback, and acting as social mediators for collaboration."
"What is a key limitation of many empirical studies on AI in education, as noted in the Delikoura et al. (2025) review?","Most evidence stems from short-term interventions, leaving questions about the sustained cognitive and social impacts in classrooms."
"In the SRL framework, the 'performance' phase includes self-control strategies. How can an AI tool support this?","By providing automated assistance, reinforcing concepts through repetition and quizzes, or helping learners stay on task."
What type of data can be collected from tool logs to better understand which self-regulation processes are being supported?,Trace data of learners' interactions with the different functionalities of the tool.
"According to Metacognitive Theory, what are the three key components of managing one's own learning?","Metacognitive knowledge (planning), metacognitive experiences (awareness/reflection), and metacognitive monitoring (evaluation/adjustment)."
Why might educators view AI-generated 'code optimization' suggestions with skepticism in introductory courses?,Because optimizing code is often an advanced skill not applicable to the core learning objectives of a typical introductory coursework.
"According to the Lan and Zhou (2025) review, how does Engagement Theory's concept of 'cognitive engagement' relate to SRL?","It encompasses students' psychological commitment to learning, their use of learning strategies, and their ability to self-regulate during academic tasks."
What is the 'hallucination' risk associated with LLMs?,The tendency of the model to generate false or nonsensical information that is presented as factual and fluent.
"In the Lan and Zhou (2025) review, how did one AI-based system support the forethought phase of SRL?",It assisted students in setting course goals and planning their learning activities by generating recommendations that aligned tasks with those goals.
"What is 'bias' as a risk in LLMs, particularly in an educational context?","The risk that a model exhibits tendencies (e.g., Anglocentric) that marginalize diverse perspectives and reinforce cultural or linguistic inequalities in learning content."
"A study by Yin et al. (as cited in Lan & Zhou, 2025) found that while chatbot-based micro-learning matched traditional teaching in performance, it significantly increased what?","Intrinsic motivation, due to perceived choice and value."
How can providing 'source transparency' act as a mitigation strategy during the 'Monitoring' stage of the IMO model?,"It allows learners to verify the information provided by the LLM, prompting active critique rather than passive acceptance."
A systematic review by Alvarez et al. (2022) focused on analyzing SRL support tools published between which years?,2008 and 2020.
"What is the core function of an Automated Writing Evaluation (AWE) system like Pigai, as described in Lan and Zhou (2025)?","To generate real-time feedback on written texts, including holistic scoring, diagnostic feedback, and overall comments."
"In the performance phase of SRL, how do AI tools facilitate 'help-seeking'?","By functioning as conversational agents or chatbots that can answer questions, respond to inquiries, or provide access to educational consultants."
What is a potential negative consequence of AI assistants that are too effective at reducing cognitive load?,They may undermine the germane cognitive load essential for deep understanding and long-term retention.
What practical suggestion for future research does Wu et al. (2025) give regarding educational contexts?,"To systematically investigate diverse contexts beyond higher education, such as K-12 settings, adult learning, and vocational training."
