Concept: Automatic Processes,Definition: Rapid processes that require minimal attentional resources and occur without conscious control or intention.
What causes the interference effect in the 'Stroop task'?,A conflict between the automatic process of reading a word and the controlled process of naming the ink color.
What is 'mindlessness' as defined by Langer (1975)?,Performing activities mechanically or by rote without evaluating the current situation or actively paying attention.
"In skill acquisition, how does an 'open skill' differ from a 'closed skill'?","Closed skills are applied in predictable circumstances (e.g., typing), while open skills are applied in unpredictable, variable environments."
"According to Kahneman's (1973) capacity theory, what determines the 'resource cost' of a task?",The amount of attentional resources needed to perform the task effectively.
Term: Attentional Blink,"Definition: The momentary depletion of attentional resources after identifying one target, making it difficult to identify a second target for about half a second."
What is 'repetition blindness'?,A decrease in the ability to perceive repeated stimuli when they are flashed in rapid serial presentation.
How does 'change blindness' typically manifest in visual perception?,Difficulty discerning differences between two slightly altered images flashed repeatedly with a brief gap between them.
Which famous experiment demonstrated 'inattentional blindness' by having observers fail to notice a person in a gorilla suit?,The basketball passing video study by Simons and Chabris (1999).
What is the clinical definition of 'simultanagnosia' (Balint's syndrome)?,A difficulty in recognizing or attending to more than one object at the same time.
"Which neurological condition results in a patient neglecting one half of their visual field, despite having intact vision?",Hemispheric neglect (or hemineglect)
Hemispheric neglect is typically the result of damage to which part of the brain?,The parietal lobe (nondominant/right hemisphere).
Why is 'attention deficit' in ADHD considered a potential misnomer?,Affected children actually notice too much and have an 'inhibition deficit'—a difficulty filtering out unnecessary information.
"In children with ADHD, which brain region typically shows decreased blood flow compared to peers?",The frontal lobes
How do amphetamines like Ritalin help reduce restlessness in children with ADHD?,"They increase blood flow to the frontal cortex and maintain the availability of dopamine, which regulates attention and motor activity."
Which part of the brain is roughly 17% smaller in children with ADHD according to neuroimaging research?,The basal ganglia
What are the three core cognitive symptoms of Parkinson's dementia?,"Difficulty formulating hypotheses, inability to suppress habitual responses, and inability to stay focused on non-routine tasks."
"According to the GEMS (Reason, 1990) framework, when do many accidents occur?","When automatic processes are not interrupted by conscious ones when needed, or when there is an unusual interaction between the two."
Which brain structure is considered the 'relay center' for sensory information entering the brain?,The midbrain
"The 'magical number seven, plus or minus two' was a concept published in 1956 by which author?",George A. Miller
"In the context of attention as a resource, why is talking on a cell phone more dangerous than talking to a passenger while driving?","A passenger can adjust the conversation based on road conditions and warn the driver of danger, whereas a remote caller cannot."
What is the 'rooting reflex' in newborns an example of?,An orienting reflex
How does the 'where' circuit differ in its termination point for visual vs. auditory stimuli?,"Both terminate in the parietal lobe, but one originates in the visual cortex and the other in the auditory cortex."
Which research method uses a 'tachistoscope' to display letters for exactly 50 milliseconds?,Sperling's span of apprehension tests
Why is the 2000 'butterfly ballot' cited as a failure of cognitive design?,"It was inconsistent with normal automatic processing, specifically left-to-right scanning and Gestalt principles of alignment."
"If two stimuli follow each other less than 0.10 seconds apart, how does the brain typically process them?",It treats them as a single item/event.
What is the primary difference between 'controlled processing' and 'automatic processing' regarding awareness?,"Controlled processing is available to conscious understanding, whereas automatic processing is impenetrable to conscious awareness."
Why do people with Parkinson's disease often experience 'shaking palsy'?,They have lost the dopamine-producing cells in the substantia nigra that control muscle movement.
