The level of analysis in Tinbergen's framework that maps the historical origins of a behavior across species lineages is called _____.,Phylogeny (Evolution)
Cross-cultural research shows that cues of intergroup conflict heighten human preferences for _____ leaders.,Dominant (or Strongman)
"According to the Santa Barbara School, the mind's modular architecture allows for '_____ and frugal' reasoning in ancestral contexts.",Fast
"According to Trivers (1972), the sex making the _____ obligatory investment in offspring is the more discriminating sex in mate choice.",Greater
"In Tinbergen’s framework, identifying the immediate physiological or neural triggers of a behavior falls under which level of analysis?",Mechanism (Causation)
A major 2026 paper by Costello and Buss argued that evolutionary psychology is scientific because its hypotheses are _____.,Testable and Falsifiable
"According to Ellis's two-tiered LHT model, ambient cues to _____ mortality promote a faster reproductive pace.",Extrinsic
"The study of evolutionary _____ behavior investigates how ancient needs, like status signaling, shape modern purchasing decisions.",Consumer
David Buss's 1989 study documented sex differences in mate preferences across how many different cultures?,37
Robert Trivers’ 1974 theory of _____ dismantled the view of the family as a purely harmonious unit by showing conflicting genetic interests.,Parent-Offspring Conflict
A 2026 meta-analysis by Fan Wei and colleagues suggests that the emotion of _____ may adaptively foster social connection and emotional repair.,Sadness
Which of Tinbergen's four levels of analysis focuses on how a behavior contributes to reproductive success and survival?,Adaptive Function (Survival Value)
"The 'behavioral immune system' is a suite of psychological adaptations, primarily the emotion of _____, designed to prevent infection.",Disgust
"The 'Dual-Mating Shift' hypothesis, which suggested women's mate preferences change during ovulation, was recently _____ by large-scale registered reports.",Disconfirmed (or Refined)
Leda Cosmides used the _____ selection task to demonstrate that humans are better at reasoning when problems involve social contracts.,Wason
"In Tinbergen’s framework, tracing how a behavior changes over an individual's lifespan is known as _____.",Ontogeny (Development)
"In the Santa Barbara framework, '_____ specificity' refers to modules only processing information relevant to a particular adaptive task.",Domain
Buss and Schmitt’s Sexual Strategies Theory (SST) argues that human mating is inherently _____.,Strategic
What methodological format requires researchers to submit hypotheses and analysis plans before data collection to prevent p-hacking?,Registered Reports
The 'Social Leverage Effect' describes how cultural institutions can transform weak _____ effects into strong incentives for cooperation.,Reputation
"Evolved Navigation Theory (ENT) predicts the 'environmental vertical illusion,' where humans overestimate _____ distances relative to horizontal ones.",Vertical
Term: Supernormal Stimuli,Definition: Modern technologies or foods that exploit and amplify ancestral cravings beyond natural levels.
"According to Parental Investment Theory, which sex becomes a limited resource over which the other sex competes?",The sex that makes the greater obligatory investment in offspring.
Tinbergen's 'Four Questions' are divided into two broad categories: _____ and Ultimate.,Proximate
"According to Robert Trivers’ 1971 paper, what mechanism allows for the evolution of cooperation among unrelated individuals?",Reciprocal Altruism
The 'Kin Altruism' hypothesis for male homosexuality was largely _____ after failing to find mnemonic or behavioral advantages for kin.,Falsified
"According to Cosmides, humans possess specialized '_____ detection' mechanisms to facilitate cooperation among non-relatives.",Cheater
Which 1992 book is considered the foundational 'manifesto' that formally defined the discipline of Evolutionary Psychology?,The Adapted Mind
The argument that a general-purpose processor would be overwhelmed by infinite response options is known as _____ explosion.,Combinatorial
What does the acronym SSSM stand for in the context of evolutionary psychology’s critique of traditional social science?,Standard Social Science Model
William D. Hamilton’s 1964 theory of _____ fitness mathematically demonstrated that altruism can evolve if it benefits genetic relatives.,Inclusive
